2024-05-16 17:45:34 - User: anshul, Book: harry, Transaction: Returned
2024-05-16 17:45:40 - User: anshul, Book: harry, Transaction: Returned
2024-05-16 17:45:58 - User: anshul, Book: harry, Transaction: Borrowed
2024-05-16 17:46:06 - User: anshul, Book: harry, Transaction: Returned
2024-05-16 17:48:58 - User: anshul, Book: harry, Transaction: Borrowed
2024-05-16 17:49:02 - User: anshul, Book: harry, Transaction: Returned
2024-05-16 17:49:50 - User: messi, Book: harry, Transaction: Borrowed
2024-05-16 17:50:04 - User: anshul, Book: harry, Transaction: Borrowed
2024-05-16 17:50:11 - User: messi, Book: harry, Transaction: Returned
2024-05-16 17:50:26 - User: anshul, Book: harry, Transaction: Returned
2024-05-16 17:50:34 - User: anshul, Book: hello, Transaction: Borrowed
2024-05-16 17:50:39 - User: messi, Book: hello, Transaction: Borrowed2024-05-17 15:05:33 - User: anshul, Book: gad, Transaction: Returned
2024-05-17 15:07:16 - User: anshul, Book: gad, Transaction: Borrowed
2024-05-17 15:08:38 - User: anshul, Book: anshul, Transaction: Returned
2024-05-17 15:10:17 - User: anshul, Book: ansuhl, Transaction: Borrowed
2024-05-17 15:11:44 - User: anshul, Book: gad, Transaction: Returned
2024-05-17 15:12:12 - User: anshul, Book: ddfg, Transaction: Borrowed
2024-05-17 15:12:17 - User: anshul, Book: ddfg, Transaction: Returned
2024-05-17 15:12:23 - User: anshul, Book: sdgfdg, Transaction: Borrowed
2024-05-17 15:15:36 - User: messi, Book: dfdgf, Transaction: Returned
2024-05-17 15:15:55 - User: messi, Book: dfgf, Transaction: Borrowed
2024-05-17 15:16:04 - User: messi, Book: dfgf, Transaction: Returned
2024-05-17 15:16:10 - User: messi, Book: gfgh, Transaction: Borrowed
2024-05-17 15:16:16 - User: messi, Book: gfgh, Transaction: Returned
2024-05-17 15:16:38 - User: anshul, Book: gfgh, Transaction: Returned
2024-05-17 15:16:46 - User: messi, Book: gfgh, Transaction: Borrowed
2024-05-17 15:16:51 - User: messi, Book: gfgh, Transaction: Returned
2024-05-17 15:16:59 - User: messi, Book: dffdg, Transaction: Borrowed
2024-05-17 15:17:48 - User: messi, Book: dfdgf, Transaction: Returned
2024-05-17 15:18:42 - User: messi, Book: dfdgf, Transaction: Borrowed
2024-05-17 15:21:20 - User: messi, Book: anshul, Transaction: Returned
2024-05-17 15:21:24 - User: messi, Book: anshul, Transaction: Borrowed
2024-05-17 15:21:30 - User: messi, Book: anshul, Transaction: Returned
2024-05-17 15:23:02 - User: messi, Book: anshul, Transaction: Borrowed
2024-05-17 15:23:05 - User: messi, Book: anshul, Transaction: Returned
2024-05-17 15:23:27 - User: messi, Book: anshul, Transaction: Borrowed
